candidate,model,docking_score
candidate_003,candidate_003.pred2_refined_md,-1246.21
candidate_003,candidate_003.pred1_refined_md,-1137.1
candidate_027,candidate_027.pred1_refined_md,-1136.57
candidate_027,candidate_027.pred3_refined_md,-1101.14
candidate_003,candidate_003.pred3_refined_md,-1091.59
candidate_003,candidate_003.pred5_refined_md,-1070.45
candidate_028,candidate_028.pred4_refined_md,-1035.63
candidate_027,candidate_027.pred5_refined_md,-1030.46
candidate_028,candidate_028.pred1_refined_md,-1008.82
candidate_027,candidate_027.pred2_refined_md,-1002.79
candidate_028,candidate_028.pred2_refined_md,-994.32
candidate_028,candidate_028.pred5_refined_md,-983.12
candidate_028,candidate_028.pred3_refined_md,-914.13
candidate_025,candidate_025.pred4_refined_md,-826.24
candidate_025,candidate_025.pred2_refined_md,-776.71
candidate_025,candidate_025.pred1_refined_md,-730.98
candidate_025,candidate_025.pred3_refined_md,-680.62
candidate_006,candidate_006.pred1_refined_md,-598.79
candidate_006,candidate_006.pred4_refined_md,-591.37
candidate_012,candidate_012.pred1_refined_md,-588.78
candidate_006,candidate_006.pred2_refined_md,-558.34
candidate_011,candidate_011.pred1_refined_md,-549.1
candidate_006,candidate_006.pred3_refined_md,-537.44
candidate_009,candidate_009.pred2_refined_md,-533.57
candidate_006,candidate_006.pred5_refined_md,-521.32
candidate_011,candidate_011.pred5_refined_md,-520.75
candidate_012,candidate_012.pred3_refined_md,-518.72
candidate_012,candidate_012.pred4_refined_md,-516.03
candidate_011,candidate_011.pred4_refined_md,-512.3
candidate_009,candidate_009.pred4_refined_md,-510.92
candidate_011,candidate_011.pred3_refined_md,-504.13
candidate_011,candidate_011.pred2_refined_md,-503.31
candidate_009,candidate_009.pred3_refined_md,-502.34
candidate_012,candidate_012.pred2_refined_md,-498.94
candidate_009,candidate_009.pred1_refined_md,-474.69
candidate_012,candidate_012.pred5_refined_md,-470.81
candidate_021,candidate_021.pred3_refined_md,-469.72
candidate_014,candidate_014.pred2_refined_md,-456.1
candidate_024,candidate_024.pred5_refined_md,-445.03
candidate_014,candidate_014.pred4_refined_md,-436.34
candidate_017,candidate_017.pred3_refined_md,-435.7
candidate_021,candidate_021.pred2_refined_md,-425.46
candidate_010,candidate_010.pred1_refined_md,-424.95
candidate_010,candidate_010.pred4_refined_md,-422.66
candidate_017,candidate_017.pred1_refined_md,-422.65
candidate_017,candidate_017.pred2_refined_md,-421.6
candidate_015,candidate_015.pred4_refined_md,-418.5
candidate_015,candidate_015.pred3_refined_md,-417.91
candidate_021,candidate_021.pred4_refined_md,-415.27
candidate_023,candidate_023.pred4_refined_md,-413.36
candidate_008,candidate_008.pred3_refined_md,-413.33
candidate_010,candidate_010.pred3_refined_md,-413.05
candidate_008,candidate_008.pred4_refined_md,-410.77
candidate_013,candidate_013.pred4_refined_md,-410.49
candidate_014,candidate_014.pred5_refined_md,-409.38
candidate_024,candidate_024.pred2_refined_md,-408.5
candidate_015,candidate_015.pred1_refined_md,-408.14
candidate_001,candidate_001.pred4_refined_md,-408.1
candidate_004,candidate_004.pred5_refined_md,-402.39
candidate_023,candidate_023.pred1_refined_md,-400.38
candidate_008,candidate_008.pred1_refined_md,-397.12
candidate_019,candidate_019.pred2_refined_md,-396.27
candidate_005,candidate_005.pred2_refined_md,-395.1
candidate_023,candidate_023.pred3_refined_md,-394.93
candidate_021,candidate_021.pred1_refined_md,-394.7
candidate_004,candidate_004.pred4_refined_md,-394.41
candidate_008,candidate_008.pred5_refined_md,-392.18
candidate_001,candidate_001.pred2_refined_md,-388.72
candidate_002,candidate_002.pred2_refined_md,-388.15
candidate_015,candidate_015.pred2_refined_md,-387.11
candidate_017,candidate_017.pred5_refined_md,-386.24
candidate_013,candidate_013.pred1_refined_md,-385.77
candidate_005,candidate_005.pred3_refined_md,-384.27
candidate_016,candidate_016.pred3_refined_md,-384.09
candidate_008,candidate_008.pred2_refined_md,-381.73
candidate_002,candidate_002.pred3_refined_md,-379.8
candidate_001,candidate_001.pred3_refined_md,-379.21
candidate_013,candidate_013.pred3_refined_md,-378.17
candidate_015,candidate_015.pred5_refined_md,-377.47
candidate_016,candidate_016.pred1_refined_md,-373.13
candidate_013,candidate_013.pred5_refined_md,-371.73
candidate_001,candidate_001.pred5_refined_md,-370.53
candidate_002,candidate_002.pred1_refined_md,-368.49
candidate_007,candidate_007.pred2_refined_md,-366.34
candidate_004,candidate_004.pred1_refined_md,-365.68
candidate_005,candidate_005.pred4_refined_md,-365.35
candidate_013,candidate_013.pred2_refined_md,-364.08
candidate_004,candidate_004.pred3_refined_md,-362.0
candidate_007,candidate_007.pred4_refined_md,-360.63
candidate_002,candidate_002.pred5_refined_md,-359.02
candidate_023,candidate_023.pred2_refined_md,-358.44
candidate_005,candidate_005.pred5_refined_md,-357.89
candidate_020,candidate_020.pred2_refined_md,-356.9
candidate_016,candidate_016.pred5_refined_md,-356.75
candidate_019,candidate_019.pred5_refined_md,-355.73
candidate_010,candidate_010.pred2_refined_md,-355.34
candidate_004,candidate_004.pred2_refined_md,-354.72
candidate_010,candidate_010.pred5_refined_md,-354.15
candidate_019,candidate_019.pred1_refined_md,-353.99
candidate_007,candidate_007.pred1_refined_md,-352.98
candidate_016,candidate_016.pred2_refined_md,-347.96
candidate_016,candidate_016.pred4_refined_md,-347.22
candidate_005,candidate_005.pred1_refined_md,-342.48
candidate_024,candidate_024.pred3,-341.39
candidate_019,candidate_019.pred3_refined_md,-338.97
candidate_020,candidate_020.pred4_refined_md,-338.4
candidate_019,candidate_019.pred4_refined_md,-336.88
candidate_017,candidate_017.pred4_refined_md,-336.69
candidate_024,candidate_024.pred4,-334.92
candidate_007,candidate_007.pred3_refined_md,-334.49
candidate_024,candidate_024.pred1,-331.3
candidate_023,candidate_023.pred5_refined_md,-329.95
candidate_020,candidate_020.pred1_refined_md,-329.21
candidate_024,candidate_024.pred2,-326.45
candidate_007,candidate_007.pred1,-325.05
candidate_020,candidate_020.pred5_refined_md,-320.42
candidate_024,candidate_024.pred4_refined_md,-319.78
candidate_024,candidate_024.pred3_refined_md,-317.85
candidate_007,candidate_007.pred2,-299.39
candidate_007,candidate_007.pred3,-291.0
candidate_007,candidate_007.pred5,-282.98
candidate_007,candidate_007.pred4,-272.39
candidate_024,candidate_024.pred5,-244.95
